weeknum,Sales1,Price1,feat1
1,5929,4.29168,0
2,6089,4.29168,0
3,8909,4.29168,29.59472927
4,6469,4.29168,0
5,4917,4.29168,0
6,5299,4.29168,0
7,3968,4.29168,0
8,5244,4.29168,44.53896938
9,5616,4.29168,0
10,5676,4.17408,0
11,5426,4.17408,0
12,5857,4.17408,25.46647562
13,5503,4.17408,25.67867607
14,5038,4.17408,0
15,7786,3.68976,0
16,8105,3.68976,36.01295585
17,9238,3.68976,43.29795315
18,9302,3.68976,58.40543326
19,10073,3.68976,69.07376687
20,10009,3.68976,67.22801032
21,8726,3.69632,27.16014592
22,6544,5.12096,0
23,6999,5.12096,0
24,6129,5.12096,0
25,7952,5.12096,0
26,7292,5.12096,0
27,7880,5.12096,0
28,8324,5.12096,0
29,8312,5.12096,0
30,5854,4.69568,0
31,5733,4.69568,2.094082655
32,11278,4.69568,44.02545185
33,13672,4.69568,47.97192982
34,9159,4.69568,0
35,7803,4.69568,0
36,7088,4.69568,48.92950392
37,6596,4.69568,0
38,6878,4.69568,0
39,5348,4.69568,0
40,5122,4.69568,0
41,5088,4.69568,0
42,7004,4.69568,0
43,7502,4.69568,2.078692158
44,7397,4.58576,2.58365351
45,7435,4.58576,2.503969209
46,6762,4.58576,2.265868837
47,6996,4.58576,0
48,6963,4.58576,0
49,7555,4.58576,0
50,6694,4.58576,0
51,6361,4.58576,0
52,8505,4.58576,0
53,8043,4.58576,0
54,7397,4.58576,32.05366667
55,7833,4.58576,31.06257305
56,7466,4.58576,2.162267273
57,6632,4.58576,2.226997985
58,10892,4.58576,43.05876371
59,10812,4.58576,0
60,5567,4.58576,27.27477283
61,6866,4.58576,30.15354488
62,6570,4.58576,20.2979146
63,6926,4.58576,23.25052753
64,6121,4.58576,38.42391148
65,5591,4.58576,42.24187867
66,7196,4.58576,0
67,7981,4.58576,0
68,14321,4.58576,75.00288646
69,8214,4.58576,43.32466322
70,6916,4.58576,0
71,8241,4.58576,0
72,10777,4.58576,88.05594492
73,7664,4.99008,23.53861904
74,4883,4.99008,0
75,6117,5.3376,0
76,9478,5.3376,38.03621958
77,8656,5.3376,0
78,7385,5.3376,0
79,6118,5.3376,0
80,5764,5.3376,0
81,6535,5.3376,0
82,9412,5.35072,0
83,9644,5.46848,34.20840936
84,13865,5.74848,30.91223816
85,14230,5.74848,0
86,15593,5.74848,55.06128261
87,12353,5.74848,51.05679748
88,7134,5.74848,32.85034536
89,5646,5.74848,44.06230857
90,7316,5.74848,0
91,6643,5.74848,0
92,7297,5.74848,32.58846557
93,6501,5.74848,38.18714451
94,8130,5.74848,0
95,6817,5.74848,0
96,6275,5.74848,0
97,5923,5.74848,31.6230646
98,7958,5.74848,35.90249345
99,9483,5.74848,0
100,9122,5.70624,98.19304997
101,9211,5.70624,54.68672638
102,12519,5.70624,61.48781443
103,11539,5.70624,0
104,17418,5.70624,51.96199617
105,9577,5.70624,0
106,8910,5.70624,0
107,8053,5.70624,0
108,15677,5.01104,74.99261286
109,9067,5.01104,33.16033044
110,9074,5.01104,79.93926379
111,8874,5.22128,34.06871981
112,8858,5.22128,29.34784467
113,12327,5.22128,0
