,Household_ID,N_catg1,N_catg2,N_catg3,N_catg4,N_catg5,N_catg6,N_catg7,N_catg8,N_catg9,N_catg10,N_catg11,N_catg12,N_catg13,N_catg14,N_catg15,E_catg1,E_catg2,E_catg3,E_catg4,E_catg5,E_catg6,E_catg7,E_catg8,E_catg9,E_catg10,E_catg11,E_catg12,E_catg13,E_catg14,E_catg15,Household_Income,Age_Household_Head,Number_Of_Kids,Total_Number_Of_Transactions,Number_Of_Online_Purchase,Number_Of_Stores_Visited,Number_Of_Returns,Number_Of_Different_Categories
1,100003544,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.97,0,6,28,0,1,0,1,0,1
2,100012312,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.99,0,9.99,0,0,1,24,0,1,0,1,0,2
3,100016237,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.99,0,0,0,0,NA,NA,0,1,0,1,0,1
4,100022945,0,0,0,0,1,0,0,2,0,0,6,1,0,0,0,0,0,0,0,259.99,0,0,24.98,0,0,193.95,149.99,0,0,0,5,44,1,1,0,1,2,4
5,100022976,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,599.99,0,0,0,0,0,0,0,0,0,0,0,0,249.99,0,7,54,0,1,0,1,0,2
6,100024091,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,823,0,0,0,0,0,2179.97,0,0,5,44,0,1,0,1,0,2
7,100024909,1,0,0,0,0,0,2,7,1,0,3,4,3,0,1,0,0,0,0,0,0,26.98,804.91,39.99,0,259.97,1719.96,178.97,0,0,7,56,0,3,0,3,7,8
8,100025614,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.98,0,0,0,0,0,0,0,NA,NA,0,1,0,1,0,1
9,100025901,3,0,0,0,0,0,2,1,0,1,2,0,9,3,0,584.98,0,0,0,0,0,574.99,0,0,79.98,79.95,0,3864.87,319.94,0,7,72,0,4,0,4,12,7
10,100026342,0,0,0,0,2,0,0,0,0,1,6,3,0,1,0,0,0,0,0,89.98,0,0,0,0,0,509.92,1599.94,0,8.99,0,9,48,3,1,0,1,0,5
11,100031891,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,69.99,0,0,0,0,0,0,0,0,0,49.99,0,0,0,0,4,46,0,1,0,1,0,2
12,100033164,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,399.97,0,0,0,0,0,0,80.97,0,1,84,0,2,0,2,2,3
13,100033277,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,504.98,0,0,0,0,0,89.94,0,0,23.98,0,6,NA,0,1,0,1,0,3
14,100033717,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.99,0,0,0,0,1,52,1,1,0,1,0,1
15,100035849,2,0,0,0,0,0,0,4,0,1,3,2,0,0,0,249.99,0,0,0,0,0,0,99.96,0,0,44.94,2149.97,0,0,0,6,32,0,1,0,1,0,5
16,100037757,0,0,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,3.99,259.95,0,0,0,0,0,0,0,7,54,0,1,0,1,2,3
17,100039371,0,0,0,0,0,0,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1934.96,0,99.99,29.99,69.99,0,0,0,0,9,40,2,2,0,2,0,4
18,100040028,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,32,0,1,0,1,0,1
19,100041095,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257.95,0,0,0,0,0,0,0,4,NA,1,1,0,1,2,1
20,100041276,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,79.99,1249.99,0,0,49,9,48,0,1,0,1,0,3
21,100041876,3,0,0,0,3,0,0,0,2,0,1,0,2,0,0,283.96,0,0,0,679.97,0,0,0,41.98,0,79.99,0,729.98,0,0,9,46,1,3,0,3,0,5
22,100042880,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,534.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,34,0,1,0,1,0,1
23,100044188,0,0,0,0,0,0,1,0,0,1,1,2,1,0,0,0,0,0,0,0,0,60,0,0,0,4.99,1149.94,0,0,0,8,54,0,5,4,3,2,5
24,100046505,3,0,0,0,0,0,0,3,0,0,5,4,1,1,0,293.97,0,0,0,0,0,0,240.97,0,0,177.96,1299.97,19.99,159.98,0,3,86,0,2,0,2,4,6
25,100047344,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.99,0,0,0,0,0,0,0,3,NA,3,1,0,1,0,1
26,100048206,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,9.99,0,0,0,0,0,0,0,0,0,19.99,0,0,0,0,NA,NA,0,1,0,1,2,3
27,100050198,0,5,0,0,0,0,0,0,1,1,4,1,1,1,1,0,314.98,0,0,0,0,0,0,59.99,-19.99,402.44,299.99,449.99,189.99,549.99,8,46,3,2,0,2,10,8
28,100051238,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,249.99,0,0,0,0,6.48,0,0,0,249.99,0,NA,NA,0,2,2,1,0,3
29,100052438,0,3,0,0,0,0,0,0,0,1,3,3,4,0,0,0,362.98,0,0,0,0,0,0,0,39.98,219.97,1299.96,2809.91,0,0,6,42,0,2,0,2,0,6
30,100056366,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,359.99,0,0,0,20.98,0,251.97,0,0,0,0,2,38,0,1,0,1,0,3
31,100062435,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.99,0,5,NA,0,1,0,1,0,1
32,100062889,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,26,2,1,0,1,0,1
33,100063520,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383.96,0,0,0,0,0,0,0,6,60,0,2,0,2,0,1
34,100064204,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,162.95,19.99,0,39.99,0,0,0,0,4,52,0,1,0,1,0,3
35,100066985,1,0,0,0,0,0,0,0,0,0,0,1,3,1,0,9.96,0,0,0,0,0,0,0,0,0,0,279.99,229.95,79.99,0,9,62,0,2,0,2,0,4
