Year,Units (Thousands),,,,,,,,,,,,,,,,,,,
1982,850,,,,,,,,,,,,,,,,,,,
1983,2200,,,,,,,,,,,,,,,,,,,
1984,3000,,,,,,,,,,,,,,,,,,,
1985,4220,,,,,,,,,,,,,,,,,,,
1986,6450,,,,,,,,,,,,,,,,,,,
1987,8800,,,,,,,,,,,,,,,,,,,
1988,11100,,,,,,,,,,,,,,,,,,,
1989,12500,,,,,,,,,,,,,,,,,,,
1990,13560,,,,,,,,,,,,,,,,,,,
1991,15380,,,,,,,,,,,,,,,,,,,
1992,14590,,,,,,,,,,,,,,,,,,,
1993,16279,,,,,,,,,,,,,,,,,,,
1994,17613,,,,,,,,,,,,,,,,,,,
1995,17498,,,,,,,,,,,,,,,,,,,
1996,17570,,,,,,,,,,,,,,,,,,,
1997,18897,,,,,,,,,,,,,,,,,,,
1998,18519,,,,,,,,,,,,,,,,,,,
1999,20939,,,,,,,,,,,,,,,,,,,
2000,19876,,,,,,,,,,,,,,,,,,,
2001,21225,,,,,,,,,,,,,,,,,,,
2002,20737,,,,,,,,,,,,,,,,,,,
2003,22534,,,,,,,,,,,,,,,,,,,
2004,24083,,,,,,,,,,,,,,,,,,,
2005,27973,,,,,,,,,,,,,,,,,,,
2006,26202,,,,,,,,,,,,,,,,,,,
2007,24029,,,,,,,,,,,,,,,,,,,
2008,20175,,,,,,,,,,,,,,,,,,,
2009,15536,,,,,,,,,,,,,,,,,,,
2010,15280,,,,,,,,,,,,,,,,,,,
